,file_date,start,end,numvals_w_ms-1_rot_turb,numvals_co2_ppb_qcl_turb_DYCO,lagsearch_start,lagsearch_end,iteration,PEAK-COVABSMAX_SHIFT,PEAK-COVABSMAX_COV,PEAK-COVABSMAX_TIMESTAMP,PEAK-AUTO_SHIFT,PEAK-AUTO_COV,PEAK-AUTO_TIMESTAMP,DEFAULT-LAG_SHIFT,DEFAULT-LAG_COV,DEFAULT-LAG_TIMESTAMP,lagsearch_next_start,lagsearch_next_end
20161024100000_iter1,2016-10-24 10:00:00.000000000,2016-10-24 10:00:00.000000000,2016-10-24 10:29:59.950000000,36000.0,35101.0,-43.5,43.5,1.0,8.0,-292.0515618955702,,8.0,-292.0515618955702,,,,,-16,8
20161024103000_iter1,2016-10-24 10:30:00.000000000,2016-10-24 10:30:00.000000000,2016-10-24 10:59:59.950000000,36000.0,35039.0,-43.5,43.5,1.0,-5.0,-268.21344200062055,2016-10-24 10:30:00.250000,-5.0,-268.21344200062055,2016-10-24 10:30:00.250000,,,,-16,8
20161024110000_iter1,2016-10-24 11:00:00.000000000,2016-10-24 11:00:00.000000000,2016-10-24 11:29:59.950000000,36000.0,34727.0,-43.5,43.5,1.0,-2.0,-403.09429162689736,2016-10-24 11:00:00.100000,-2.0,-403.09429162689736,2016-10-24 11:00:00.100000,,,,-16,8
20161024113000_iter1,2016-10-24 11:30:00.000000000,2016-10-24 11:30:00.000000000,2016-10-24 11:59:59.950000000,36000.0,34948.0,-43.5,43.5,1.0,-3.0,-333.85279627769194,2016-10-24 11:30:00.150000,-3.0,-333.85279627769194,2016-10-24 11:30:00.150000,,,,-16,8
20161024120000_iter1,2016-10-24 12:00:00.000000000,2016-10-24 12:00:00.000000000,2016-10-24 12:29:59.950000000,36000.0,34641.0,-43.5,43.5,1.0,6.0,-229.39264437317817,,6.0,-229.39264437317817,,,,,-16,8
20161024123000_iter1,2016-10-24 12:30:00.000000000,2016-10-24 12:30:00.000000000,2016-10-24 12:59:59.950000000,36000.0,34623.0,-43.5,43.5,1.0,0.0,-229.39717368600742,,0.0,-229.39717368600742,,,,,-16,8
20161024130000_iter1,2016-10-24 13:00:00.000000000,2016-10-24 13:00:00.000000000,2016-10-24 13:29:59.950001389,36001.0,34617.0,-43.5,43.5,1.0,6.0,-201.98952790798563,,6.0,-201.98952790798563,,,,,-16,8
20161024133000_iter1,2016-10-24 13:30:00.000000000,2016-10-24 13:30:00.000000000,2016-10-24 13:59:59.950000000,36000.0,35007.0,-43.5,43.5,1.0,0.0,-184.77953685976777,,0.0,-184.77953685976777,,,,,-16,8
20161024140000_iter1,2016-10-24 14:00:00.000000000,2016-10-24 14:00:00.000000000,2016-10-24 14:29:59.950000000,36000.0,34523.0,-43.5,43.5,1.0,-2.0,-213.8565431364487,2016-10-24 14:00:00.100000,-2.0,-213.8565431364487,2016-10-24 14:00:00.100000,,,,-16,8
20161024143000_iter1,2016-10-24 14:30:00.000000000,2016-10-24 14:30:00.000000000,2016-10-24 14:59:59.950000000,36000.0,34729.0,-43.5,43.5,1.0,4.0,-95.73958446526791,,4.0,-95.73958446526791,,,,,-16,8
