,start,end,cov_max_shift,cov_max,cov_max_timestamp
20160906130000,2016-09-06 13:00:00,2016-09-06 13:14:59.995833353,-187,-283.77930438216254,2016-09-06 13:00:09.349956713
20160906131500,2016-09-06 13:15:00.045833121,2016-09-06 13:29:59.991666705,-162,-274.8612610092067,2016-09-06 13:15:08.145795621
20160906133000,2016-09-06 13:30:00.041666474,2016-09-06 13:44:59.987500058,-177,-243.71328460946427,2016-09-06 13:30:08.891625502
20160906134500,2016-09-06 13:45:00.037499826,2016-09-06 13:59:59.983333410,-177,-279.19412408415405,2016-09-06 13:45:08.887458854
20160906140000,2016-09-06 14:00:00.033333178,2016-09-06 14:14:59.979166763,-187,-375.1511844912476,2016-09-06 14:00:09.383289892
20160906141500,2016-09-06 14:15:00.029166532,2016-09-06 14:29:59.975000116,-195,-291.5767911597538,2016-09-06 14:15:09.779121393
20160906143000,2016-09-06 14:30:00.024999884,2016-09-06 14:44:59.970833468,-180,-368.2146596257183,2016-09-06 14:30:09.024958218
20160906144500,2016-09-06 14:45:00.020833237,2016-09-06 14:59:59.966666821,-180,-305.9975384335433,2016-09-06 14:45:09.020791570
20160906150000,2016-09-06 15:00:00.016666589,2016-09-06 15:14:59.962500174,-165,-295.633572611884,2016-09-06 15:00:08.266628395
20160906151500,2016-09-06 15:15:00.012499942,2016-09-06 15:29:59.958333526,-176,-145.1949353021387,2016-09-06 15:15:08.812459202
20160906153000,2016-09-06 15:30:00.008333294,2016-09-06 15:44:59.954166879,-184,-267.8703032765699,2016-09-06 15:30:09.208290702
20160906154500,2016-09-06 15:45:00.004166647,2016-09-06 15:59:59.950000231,-177,-111.75697565552964,2016-09-06 15:45:08.854125675
20160906160000,2016-09-06 16:00:00,2016-09-06 16:14:59.995833353,-251,-205.0278792001969,2016-09-06 16:00:12.549941898
20160906161500,2016-09-06 16:15:00.045833121,2016-09-06 16:29:59.991666705,-187,-194.23783406476858,2016-09-06 16:15:09.395789834
20160906163000,2016-09-06 16:30:00.041666474,2016-09-06 16:44:59.987500058,-191,-118.95203653491927,2016-09-06 16:30:09.591622261
20160906164500,2016-09-06 16:45:00.037499826,2016-09-06 16:59:59.983333410,-168,-131.46708370919302,2016-09-06 16:45:08.437460938
20160906170000,2016-09-06 17:00:00.033333178,2016-09-06 17:14:59.979166763,148,-112.93640244967187,NaT
20160906171500,2016-09-06 17:15:00.029166532,2016-09-06 17:29:59.975000116,-46,-143.95561796023577,2016-09-06 17:15:02.329155884
20160906173000,2016-09-06 17:30:00.024999884,2016-09-06 17:44:59.970833468,227,-69.55594872077778,NaT
20160906174500,2016-09-06 17:45:00.020833237,2016-09-06 17:59:59.966666821,-283,-95.58827424402331,2016-09-06 17:45:14.170767728
20160906180000,2016-09-06 18:00:00.016666589,2016-09-06 18:14:59.962500174,87,-65.66726554041887,NaT
20160906181500,2016-09-06 18:15:00.012499942,2016-09-06 18:29:59.958333526,271,-236.91424175749145,NaT
20160906183000,2016-09-06 18:30:00.008333294,2016-09-06 18:44:59.954166879,-240,136.63701344573562,2016-09-06 18:30:12.008277738
20160906184500,2016-09-06 18:45:00.004166647,2016-09-06 18:59:59.950000231,-296,108.03208475533015,2016-09-06 18:45:14.804098129
