,file_date,start,end,numvals_w_ms-1_rot_turb,numvals_co2_ppb_qcl_turb_DYCO_DYCO,lagsearch_start,lagsearch_end,iteration,PEAK-COVABSMAX_SHIFT,PEAK-COVABSMAX_COV,PEAK-COVABSMAX_TIMESTAMP,PEAK-AUTO_SHIFT,PEAK-AUTO_COV,PEAK-AUTO_TIMESTAMP,DEFAULT-LAG_SHIFT,DEFAULT-LAG_COV,DEFAULT-LAG_TIMESTAMP,lagsearch_next_start,lagsearch_next_end
20161024100000_iter1,2016-10-24 10:00:00.000000000,2016-10-24 10:00:00.000000000,2016-10-24 10:29:59.950000000,36000.0,35100.0,-100.0,100.0,1.0,9.0,-292.11126231637644,,9.0,-292.11126231637644,,0.0,-286.6146632088742,,-10,8
20161024103000_iter1,2016-10-24 10:30:00.000000000,2016-10-24 10:30:00.000000000,2016-10-24 10:59:59.950000000,36000.0,35038.0,-100.0,100.0,1.0,-4.0,-268.21344200062055,2016-10-24 10:30:00.200000,-4.0,-268.21344200062055,2016-10-24 10:30:00.200000,0.0,-264.97238750843565,,-10,8
20161024110000_iter1,2016-10-24 11:00:00.000000000,2016-10-24 11:00:00.000000000,2016-10-24 11:29:59.950000000,36000.0,34726.0,-100.0,100.0,1.0,-1.0,-403.0942916268974,2016-10-24 11:00:00.050000,-1.0,-403.0942916268974,2016-10-24 11:00:00.050000,0.0,-401.85972028090146,,-10,8
20161024113000_iter1,2016-10-24 11:30:00.000000000,2016-10-24 11:30:00.000000000,2016-10-24 11:59:59.950000000,36000.0,34947.0,-100.0,100.0,1.0,-2.0,-333.85279627769194,2016-10-24 11:30:00.100000,-2.0,-333.85279627769194,2016-10-24 11:30:00.100000,0.0,-330.76477866971646,,-10,8
20161024120000_iter1,2016-10-24 12:00:00.000000000,2016-10-24 12:00:00.000000000,2016-10-24 12:29:59.950000000,36000.0,34640.0,-100.0,100.0,1.0,7.0,-229.39384222145637,,7.0,-229.39384222145637,,0.0,-223.2163993784934,,-10,8
20161024123000_iter1,2016-10-24 12:30:00.000000000,2016-10-24 12:30:00.000000000,2016-10-24 12:59:59.950000000,36000.0,34622.0,-100.0,100.0,1.0,1.0,-229.4225869763277,,1.0,-229.4225869763277,,0.0,-228.5509691641805,,-10,8
20161024130000_iter1,2016-10-24 13:00:00.000000000,2016-10-24 13:00:00.000000000,2016-10-24 13:29:59.950001389,36001.0,34616.0,-100.0,100.0,1.0,4.0,-201.9077123811761,,4.0,-201.9077123811761,,0.0,-192.890482131242,,-10,8
20161024133000_iter1,2016-10-24 13:30:00.000000000,2016-10-24 13:30:00.000000000,2016-10-24 13:59:59.950000000,36000.0,35006.0,-100.0,100.0,1.0,1.0,-184.7814470175652,,1.0,-184.7814470175652,,0.0,-184.55798589869843,,-10,8
20161024140000_iter1,2016-10-24 14:00:00.000000000,2016-10-24 14:00:00.000000000,2016-10-24 14:29:59.950000000,36000.0,34523.0,-100.0,100.0,1.0,-1.0,-213.8565431364487,2016-10-24 14:00:00.050000,-1.0,-213.8565431364487,2016-10-24 14:00:00.050000,0.0,-213.6089966556965,,-10,8
20161024143000_iter1,2016-10-24 14:30:00.000000000,2016-10-24 14:30:00.000000000,2016-10-24 14:59:59.950000000,36000.0,34728.0,-100.0,100.0,1.0,5.0,-95.71613804027345,,5.0,-95.71613804027345,,0.0,-93.47456997340333,,-10,8
